time,timebound_lower,timebound_upper,central_estimate,std
1993.5,1993,1994,-32.26608106,4.813026379
1994.5,1994,1995,-29.69319131,4.277991287
1995.5,1995,1996,-26.55547311,3.787329988
1996.5,1996,1997,-23.82036656,3.405472951
1997.5,1997,1998,-20.46749385,3.127318269
1998.5,1998,1999,-19.14536901,3.009640065
1999.5,1999,2000,-18.07533287,2.65716289
2000.5,2000,2001,-14.91553932,2.551733886
2001.5,2001,2002,-9.97201099,2.469381056
2002.5,2002,2003,-6.767325207,2.304795016
2003.5,2003,2004,-3.894802801,2.260720756
2004.5,2004,2005,-1.594632126,2.231048019
2005.5,2005,2006,2.60468461,2.214626499
2006.5,2006,2007,4.616563402,2.199211555
2007.5,2007,2008,4.98064739,2.196262932
2008.5,2008,2009,8.897700957,2.146772953
2009.5,2009,2010,13.18675514,2.076651007
2010.5,2010,2011,14.83182458,2.115526647
2011.5,2011,2012,14.05466155,2.154187607
2012.5,2012,2013,24.54432774,2.209282806
2013.5,2013,2014,27.16441711,2.260059887
2014.5,2014,2015,30.32676336,2.349045822
2015.5,2015,2016,40.12167204,2.441775817
2016.5,2016,2017,43.56798947,2.507052974
2017.5,2017,2018,45.00748797,2.636350533
2018.5,2018,2019,48.90478054,2.698641756
2019.5,2019,2020,55.64674089,2.698641756
